City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Novopavlovsk,32,RU,1551826800,51,43.96,43.63,37.4,4.47
Paidha,48,UG,1551829420,71,2.42,30.99,69.98,2.93
Kavaratti,92,IN,1551829287,100,10.57,72.64,80.28,10.31
Shagonar,8,RU,1551829421,67,51.54,92.92,7.61,1.59
Araouane,8,ML,1551829421,24,18.9,-3.53,56.75,5.5
Macas,64,EC,1551829425,94,-2.3,-78.12,67.23,2.59
Ahualulco,5,MX,1551825600,48,22.4,-101.17,64.4,19.46
Baracoa,0,CU,1551829426,100,20.35,-74.5,76.68,6.17
Karasburg,56,NA,1551829426,43,-28.01,18.75,66.96,2.71
Leh,64,IN,1551829427,73,34.16,77.58,-7.74,1.81
Russell,75,AR,1551826800,60,-33.01,-68.8,69.8,2.24
Shelburne,75,CA,1551829321,66,44.08,-80.2,14.0,8.05
Garissa,0,KE,1551829428,61,-0.46,39.64,80.01,7.29
Celestun,48,MX,1551829429,100,20.87,-90.4,77.13,27.87
Pecanha,44,BR,1551829429,84,-18.55,-42.56,71.82,3.94
Igarka,56,RU,1551829429,85,67.47,86.57,8.51,14.23
San Roque,75,EC,1551826800,82,0.3,-78.23,62.6,8.05
Pochutla,5,MX,1551828697,58,15.74,-96.47,87.8,11.41
Namibe,36,AO,1551829290,100,-15.19,12.15,78.26,0.69
Sawtell,24,AU,1551829401,58,-30.38,153.1,82.4,14.99
Palaia Fokaia,0,GR,1551829427,81,37.72,23.95,57.99,2.24
Gualeguaychu,8,AR,1551829369,87,-33.01,-58.51,75.99,4.72
Havoysund,75,NO,1551828000,85,71.0,24.66,24.8,20.8
Vila Velha,40,BR,1551829096,83,-3.71,-38.6,81.0,6.93
Beloha,48,MG,1551829450,88,-25.17,45.06,75.65,12.33
Luganville,64,VU,1551829454,97,-15.51,167.18,83.25,3.6
Kone,20,MM,1551829455,64,21.12,96.11,72.23,9.53
Chumikan,0,RU,1551829455,52,54.72,135.31,15.57,6.4
Severo-Kurilsk,36,RU,1551829358,100,50.68,156.12,23.67,15.01
Shimoda,75,JP,1551829339,81,34.7,138.93,53.6,10.29
Vila,0,IT,1551829447,49,45.18,8.4,50.0,6.93
Gallup,1,US,1551826380,16,35.53,-108.74,62.6,16.11
Tautira,40,PF,1551829390,66,-17.73,-149.15,87.8,8.05
Tahoua,0,NE,1551829458,45,14.89,5.26,66.96,5.06
Shepsi,100,RU,1551829461,90,44.04,39.15,50.04,13.44
Yiyang,64,CN,1551829462,99,28.59,112.35,48.51,4.05
Galesong,20,ID,1551826800,100,-5.32,119.37,75.2,3.36
Lundazi,32,ZM,1551829463,95,-12.29,33.17,64.58,3.04
Elko,90,US,1551828811,70,40.83,-115.76,42.8,3.36
Sarkand,0,KZ,1551829464,63,45.41,79.91,17.6,2.71
Talakan,0,RU,1551829465,72,50.29,130.28,10.13,3.94
Praia da Vitoria,40,PT,1551828645,62,38.73,-27.07,55.4,20.49
Pearl Lagoon,40,NI,1551826800,69,12.34,-83.67,82.4,6.93
Saint-Pierre,0,FR,1551829139,93,48.95,4.24,46.4,11.41
Eyl,80,SO,1551829468,100,7.98,49.82,75.78,12.33
Alpena,90,US,1551829443,43,45.06,-83.43,15.8,6.93
Parola,0,IN,1551829469,59,20.88,75.11,55.8,4.72
Tornio,0,FI,1551829287,65,61.12,27.27,10.4,6.93
Nioro,0,GM,1551829473,25,13.79,-15.05,72.0,9.42
Davila,20,PH,1551826800,88,18.47,120.58,73.4,1.12
Brigham City,40,US,1551829230,48,41.51,-112.02,50.0,5.82
Iisalmi,0,FI,1551828000,84,63.56,27.19,3.2,9.17
Morant Bay,40,JM,1551826800,54,17.88,-76.41,82.4,9.17
Tourlaville,0,FR,1551829383,76,49.64,-1.57,51.01,19.46
Bayan,0,MN,1551829481,62,47.25,107.54,3.2,3.6
Vanavara,20,RU,1551829482,68,60.35,102.28,25.02,11.32
Guapiacu,0,BR,1551826800,69,-20.8,-49.22,78.8,3.36
Farmington,1,US,1551829356,34,36.73,-108.21,55.0,4.7
Santo Domingo,75,DO,1551828804,83,18.48,-69.94,81.0,11.41
Morden,36,CA,1551829092,61,49.19,-98.1,17.01,6.93
Mattawa,75,CA,1551829216,84,46.32,-78.7,6.8,14.99
Kisaran,76,ID,1551829488,88,2.98,99.62,78.71,2.93
Eyrarbakki,0,IS,1551829156,79,63.86,-21.15,26.6,3.36
Borogontsy,56,RU,1551829489,75,62.67,131.17,-3.78,3.6
Ishigaki,75,JP,1551826800,88,24.34,124.16,68.0,16.11
Waipawa,0,NZ,1551829156,43,-39.94,176.59,80.01,8.01
Dudinka,68,RU,1551829326,83,69.41,86.18,8.96,16.8
Port Lavaca,1,US,1551829354,42,28.61,-96.63,48.2,14.99
Beawar,0,IN,1551829492,67,26.1,74.31,48.2,5.17
Dighwara,0,IN,1551826800,82,25.74,85.0,62.6,7.85
Pastos Bons,64,BR,1551829496,95,-6.6,-44.09,73.08,2.37
Itarema,12,BR,1551829287,95,-2.92,-39.92,76.73,4.72
Tessalit,8,ML,1551829415,25,20.2,1.01,54.0,4.61
Balabac,0,PH,1551829497,98,7.99,117.06,81.18,13.78
Shirokiy,88,RU,1551829443,100,53.87,39.17,35.01,4.0
Zhangjiakou,0,CN,1551829498,68,40.77,114.88,19.26,7.52
Udayagiri,12,IN,1551829498,86,12.32,76.68,66.65,1.36
Bambari,76,CF,1551829499,74,5.77,20.68,76.95,2.48
Brigantine,1,US,1551829472,43,39.41,-74.36,34.0,6.93
Puerto Madryn,24,AR,1551829500,56,-42.77,-65.04,69.03,6.85
Gizo,40,IL,1551829260,87,31.8,34.94,51.01,1.12
Huinan,36,CN,1551829501,94,42.68,126.04,27.95,10.98
Nysa,12,PL,1551829405,69,50.47,17.33,41.0,1.99
Diamantina,36,BR,1551829506,84,-18.24,-43.6,67.91,2.26
Odienne,0,CI,1551829509,30,9.51,-7.57,74.79,8.41
Umm Lajj,0,SA,1551829510,100,25.02,37.27,58.46,11.32
Gravdal,92,NO,1551829506,86,59.79,5.78,39.99,16.11
Muroto,75,JP,1551826800,71,33.37,134.14,51.8,6.93
Jacmel,75,HT,1551828916,65,18.24,-72.54,82.4,6.93
Turayf,0,SA,1551826800,81,31.68,38.65,46.4,13.87
Ust-Ishim,0,RU,1551829515,72,57.69,71.17,3.69,2.71
Baghdad,0,IQ,1551826800,58,33.3,44.38,55.4,4.7
Elmadag,0,TR,1551829328,64,39.92,33.23,44.01,3.36
Alyangula,32,AU,1551826800,79,-13.85,136.42,84.2,4.7
Pombia,0,IT,1551829517,74,45.65,8.63,50.0,2.24
Zdvinsk,88,RU,1551829519,91,54.7,78.67,21.24,8.75
Joshimath,0,IN,1551829521,100,30.57,79.57,-6.48,0.81
Honolulu,75,US,1551829499,47,21.3,-157.86,78.8,17.22
Guangyuan,92,CN,1551829465,77,32.43,105.86,51.01,2.15
Tura,100,IN,1551829319,95,25.52,90.21,59.58,3.83
Kruisfontein,0,ZA,1551829461,76,-34.0,24.73,66.24,12.21
Sao Domingos do Maranhao,32,BR,1551829523,93,-5.58,-44.39,74.61,2.59
Mahibadhoo,92,MV,1551829524,98,3.78,72.97,83.66,9.19
Fort Oglethorpe,1,US,1551829522,31,34.95,-85.24,39.2,5.82
Kirakira,32,SB,1551829277,100,-10.46,161.92,83.21,9.42
Kagal,0,IN,1551829525,86,16.58,74.32,54.05,4.5
Greytown,12,ZA,1551829529,95,-29.06,30.59,60.26,2.15
Broome,92,GB,1551829446,93,52.47,1.45,48.2,10.29
Matagami,32,NG,1551829530,89,9.67,8.4,64.76,2.04
Aktanysh,92,RU,1551829530,93,55.72,54.06,32.63,19.82
Netivot,36,IL,1551828989,25,31.42,34.59,46.0,2.93
Acapulco,5,MX,1551826140,74,16.86,-99.88,82.4,10.29
Lac du Bonnet,68,CA,1551829469,68,50.25,-96.06,12.0,5.99
Strezhevoy,0,RU,1551826800,84,60.73,77.6,1.4,6.71
Sao Felix do Xingu,92,BR,1551829554,100,-6.64,-51.99,70.29,1.14
Bambanglipuro,64,ID,1551829354,99,-7.95,110.28,73.31,3.71
Mackenzie,1,CA,1551826800,33,55.34,-123.09,28.4,10.29
Yangambi,0,CD,1551829558,94,0.77,24.47,71.6,2.15
Chalakudi,40,IN,1551826800,88,10.3,76.34,78.8,5.17
Touros,40,BR,1551826800,88,-5.2,-35.46,78.8,3.36
Vostok,0,RU,1551829354,71,46.45,135.83,23.22,3.15
Dunda,0,IN,1551829560,78,30.62,78.32,30.11,2.71
Songjianghe,88,CN,1551829561,96,42.18,127.48,30.2,3.49
Ixtapa,5,MX,1551829203,78,20.71,-105.21,78.01,10.29
Aden,76,YE,1551829373,100,12.79,45.03,78.3,4.61
Bereda,75,ES,1551829558,87,43.27,-7.54,57.0,16.11
Montepuez,88,MZ,1551829563,93,-13.13,39.0,73.58,8.97
Kananga,0,CD,1551829563,90,-5.9,22.41,72.09,3.04
Saint-Joseph,0,FR,1551829525,65,43.56,6.97,51.01,3.36
Camacari,20,BR,1551826800,79,-12.7,-38.32,84.2,8.05
Nuuk,75,GL,1551829368,62,64.17,-51.74,24.8,18.34
Pahrump,75,US,1551829503,34,36.21,-115.98,71.01,12.75
